,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,REG_FEE,COMMIS,SALES_PRICE,Building_Age,YEAR_BUILD,YEAR OF SALES
2728,KK Nagar,2366,2012-03-23,133,4,2,6,Normal Sale,No,1994-03-28,House,No Sewage,Gravel,RM,434671,273222,12419160,17,1994,2012
2729,Chrompet,1178,2011-07-02,124,1,1,3,Normal Sale,Yes,1993-11-02,Others,No Sewage,No Access,RM,286534,180410,10612360,17,1993,2011
2730,KK Nagar,1805,2010-12-04,81,3,2,5,AbNormal,Yes,1999-04-15,House,No Sewage,Gravel,RH,379520,105422,10542220,11,1999,2010
2731,Anna Nagar,1749,2010-03-10,32,1,1,4,Partial,Yes,1988-08-10,House,ELO,Paved,RL,439857,62837,12567340,21,1988,2010
2732,KK Nagar,1444,2010-10-04,47,2,1,4,AbNormal,No,1987-04-16,Commercial,No Sewage,Gravel,RH,509624,111869,12429860,23,1987,2010
2733,Karapakkam,896,2011-10-30,181,1,1,3,Partial,Yes,1983-06-11,House,All Pub,Paved,RL,252350,129780,7210000,28,1983,2011
2734,Adyar,718,2007-11-02,196,1,1,2,Adj Land,Yes,1984-02-17,House,ELO,Paved,RM,334430,9039,9038645,23,1984,2007
2735,Chrompet,1254,2014-11-11,27,2,1,4,Adj Land,Yes,2010-12-11,House,No Sewage,Paved,RL,359185,65306,10884400,3,2010,2014
2736,Velachery,1755,2004-03-27,49,2,1,4,AbNormal,Yes,1954-09-04,Commercial,All Pub,Paved,A,394824,92126,13160800,49,1954,2004
2737,Anna Nagar,1619,2008-09-29,195,1,1,4,Partial,Yes,1996-02-10,Commercial,ELO,No Access,RH,689104,300379,17669340,12,1996,2008
2738,Velachery,1820,2008-05-20,46,3,2,5,Adj Land,No,1967-05-31,Others,ELO,Paved,RM,346598,134167,11180570,40,1967,2008
2739,Chrompet,973,2012-03-05,156,1,1,3,Family,No,1973-05-13,House,No Sewage,No Access,RL,215334,48624,6946250,38,1973,2012
2740,KK Nagar,2182,2011-09-15,94,3,2,5,Adj Land,Yes,1991-09-20,Others,All Pub,Gravel,RH,416462,312347,13014440,19,1991,2011
2741,KK Nagar,1940,2008-09-13,113,3,2,5,Adj Land,Yes,2001-09-15,Commercial,No Sewage,Gravel,RH,826735,219338,16872140,6,2001,2008
2742,Karapakkam,661,2010-10-03,159,1,1,2,Family,Yes,1960-03-22,Others,All Pub,Paved,I,231120,128997,5374875,50,1960,2010
2743,Velachery,1667,2012-02-21,159,2,1,4,Family,Yes,2001-02-23,House,ELO,No Access,RM,366160,111882,10171120,10,2001,2012
2744,Chrompet,1204,2007-11-10,130,2,1,4,Partial,No,1976-10-18,Commercial,No Sewage,Gravel,RL,451329,164120,13676650,31,1976,2007
2745,Velachery,1653,2010-12-19,178,2,1,4,Normal Sale,No,1984-12-25,House,All Pub,Gravel,RH,335544,130489,9320670,25,1984,2010
2746,Chrompet,844,2012-08-14,43,1,1,3,AbNormal,Yes,1999-08-18,House,No Sewage,Paved,RH,199699,23964,7987950,12,1999,2012
2747,Karapakkam,668,2011-10-19,172,1,1,2,AbNormal,No,2003-10-21,House,No Sewage,Paved,C,153648,64020,4268000,7,2003,2011
2748,Adyar,923,2010-08-29,180,1,1,3,Family,Yes,1978-06-09,House,No Sewage,No Access,RM,353595,88399,8839880,32,1978,2010
2749,Karapakkam,549,2009-09-13,15,1,1,2,Partial,Yes,1985-09-19,Others,No Sewage,Gravel,A,162703,79153,4397375,23,1985,2009
2750,Karapakkam,1060,2009-10-07,151,1,1,3,Adj Land,No,1978-07-18,Others,No Sewage,Paved,A,179451,119634,4984750,31,1978,2009
2751,Velachery,1842,2004-08-27,56,3,2,5,Family,Yes,1990-08-31,Commercial,No Sewage,Gravel,RH,619173,325881,16294030,13,1990,2004
2752,Adyar,717,2012-07-01,43,1,1,2,Adj Land,No,2003-09-01,Others,All Pub,Gravel,I,264317,62192,7774035,8,2003,2012
2753,Karapakkam,701,2011-08-30,78,1,1,2,AbNormal,No,1969-09-09,Commercial,No Sewage,No Access,I,188946,131213,5248500,41,1969,2011
2754,Karapakkam,1035,2010-01-26,51,1,1,3,Family,No,1970-05-02,Others,No Sewage,No Access,C,182852,74012,4353625,39,1970,2010
2755,Velachery,1614,2009-12-06,67,2,1,4,Partial,No,1986-06-18,Commercial,All Pub,No Access,A,435036,76131,10875910,23,1986,2009
2756,T Nagar,1853,2014-07-07,57,2,1,5,Family,Yes,1986-07-14,Others,No Sewage,No Access,RL,445726,167147,13928950,27,1986,2014
2757,Karapakkam,1413,2009-09-16,93,2,2,4,Adj Land,No,1979-09-24,Commercial,No Sewage,Gravel,C,366642,234244,10184500,29,1979,2009
2758,Velachery,1625,2004-06-29,73,2,1,4,Normal Sale,Yes,1986-04-07,Commercial,ELO,Gravel,RM,511920,191970,15997510,18,1986,2004
2759,Karapakkam,951,2010-11-03,142,1,1,3,Family,Yes,1982-03-18,Others,No Sewage,Gravel,C,226804,149043,6480125,28,1982,2010
2760,Chrompet,774,2014-12-21,108,1,1,2,Normal Sale,Yes,2006-12-23,House,No Sewage,No Access,RM,225077,91698,8336200,7,2006,2014
2761,Karapakkam,1276,2010-07-29,57,1,1,3,Family,Yes,1974-07-08,Others,No Sewage,No Access,RM,348439,152973,8498500,36,1974,2010
2762,KK Nagar,2273,2010-08-16,177,4,2,6,Normal Sale,Yes,1996-08-19,Commercial,No Sewage,Paved,RH,536372,321823,17879080,13,1996,2010
2763,Velachery,1711,2004-10-27,127,2,1,4,AbNormal,No,1974-04-11,Commercial,ELO,Paved,A,373435,204787,12046300,30,1974,2004
2764,Chrompet,1260,2015-01-22,26,2,1,4,Normal Sale,Yes,1985-01-29,Others,No Sewage,Paved,RM,293038,157790,11270700,29,1985,2015
2765,T Nagar,1786,2014-12-10,59,1,1,4,AbNormal,Yes,1972-10-22,Others,All Pub,Paved,RM,591083,221656,14777070,42,1972,2014
2766,Karapakkam,679,2009-08-17,44,1,1,2,Partial,No,1973-08-26,Others,All Pub,Paved,C,133420,98103,3924125,35,1973,2009
2767,Adyar,1233,2011-09-23,189,2,2,4,Adj Land,No,1979-01-10,Commercial,All Pub,No Access,RM,552309,119418,14927280,32,1979,2011
2768,Chrompet,1009,2012-02-26,102,1,1,3,Normal Sale,Yes,2004-02-28,Commercial,No Sewage,Gravel,RM,455789,242138,14243400,7,2004,2012
2769,Chrompet,931,2014-06-30,159,1,1,3,Normal Sale,No,1982-08-07,House,ELO,Paved,RM,252644,73348,8149800,31,1982,2014
2770,T Nagar,1649,2014-05-13,82,1,1,4,AbNormal,No,1994-05-18,House,No Sewage,Gravel,RM,323108,206789,12924300,19,1994,2014
2771,KK Nagar,2197,2010-01-12,14,3,2,5,Normal Sale,Yes,2002-03-12,House,No Sewage,Gravel,RL,527552,263776,12560760,7,2002,2010
2772,Adyar,1233,2010-08-01,109,2,2,4,AbNormal,No,2001-10-01,Others,No Sewage,No Access,C,245842,32779,8194735,8,2001,2010
2773,Adyar,951,2011-05-31,21,1,1,3,Adj Land,No,2000-02-06,Others,No Sewage,Gravel,C,320971,72218,8024265,11,2000,2011
2774,Chrompet,1082,2010-10-07,151,1,1,3,Normal Sale,No,2003-12-07,Others,ELO,No Access,RM,285435,128906,9207590,6,2003,2010
2775,Chrompet,1068,2012-10-26,53,1,1,3,Normal Sale,No,2004-10-28,House,ELO,Paved,RL,269165,42057,8411400,7,2004,2012
2776,Velachery,1845,2010-07-19,110,3,2,5,Partial,Yes,1998-07-22,House,ELO,Paved,C,305547,152774,8986690,11,1998,2010
2777,Velachery,1524,2004-08-14,20,2,1,4,Partial,Yes,1956-08-26,Commercial,All Pub,No Access,RM,483027,262214,13800760,47,1956,2004
2778,Velachery,1999,2006-10-21,45,3,2,5,Adj Land,Yes,1988-10-25,Commercial,No Sewage,Paved,RM,713650,329377,18298710,17,1988,2006
2779,Adyar,655,2009-01-08,130,1,1,2,Partial,No,1989-06-08,Commercial,ELO,No Access,RM,295574,36947,9236700,19,1989,2009
2780,Chrompet,826,2014-08-17,115,1,1,3,Family,No,2002-08-20,House,All Pub,Gravel,RH,226212,37702,7540400,11,2002,2014
2781,Chrompet,1212,2007-02-18,40,2,1,4,AbNormal,Yes,1996-02-21,Commercial,All Pub,No Access,RL,385410,57098,14274450,10,1996,2007
2782,Karapakkam,1685,2011-09-28,135,2,2,4,Adj Land,No,1966-09-10,Commercial,No Sewage,Paved,RM,578369,131448,13144750,45,1966,2011
2783,KK Nagar,1942,2009-04-17,4,3,2,5,AbNormal,Yes,2001-04-19,Commercial,All Pub,Paved,RH,538506,130547,16318360,7,2001,2009
2784,Velachery,1898,2006-06-26,153,3,2,5,Partial,Yes,1996-06-28,Others,ELO,Gravel,RL,376684,97209,12151100,9,1996,2006
2785,Karapakkam,1467,2010-11-12,90,2,2,4,AbNormal,Yes,1969-12-21,House,ELO,Gravel,C,297055,108679,7245250,40,1969,2010
2786,Anna Nagar,1714,2014-12-30,55,1,1,4,Partial,No,1972-10-01,Commercial,No Sewage,No Access,RM,478144,239072,18390160,42,1972,2014
2787,Chrompet,1104,2011-09-26,90,1,1,3,Partial,No,1991-01-10,House,No Sewage,Gravel,RM,284196,66312,9473200,20,1991,2011
2788,Karapakkam,1081,2010-08-20,62,1,1,3,Partial,Yes,1993-08-24,Commercial,ELO,Gravel,I,481188,153980,9623750,16,1993,2010
2789,Adyar,765,2010-04-28,43,1,1,2,AbNormal,Yes,1999-01-05,House,All Pub,Gravel,RL,297685,37211,9302665,11,1999,2010
2790,Chrompet,930,2013-12-02,56,1,1,3,AbNormal,Yes,1998-02-16,Commercial,No Sewage,Gravel,RM,364804,40534,13511250,15,1998,2013
2791,Adyar,698,2012-01-01,133,1,1,2,Normal Sale,No,1992-06-01,Others,All Pub,No Access,I,225849,5943,5943400,19,1992,2012
2792,KK Nagar,1478,2008-09-26,172,2,1,4,Adj Land,No,1997-09-29,Others,No Sewage,Paved,RH,314683,120320,9255380,10,1997,2008
2793,Karapakkam,986,2011-01-17,107,1,1,3,Adj Land,Yes,1967-01-28,Commercial,ELO,Gravel,RL,334048,135707,10439000,43,1967,2011
2794,Chrompet,910,2013-02-19,81,1,1,3,Adj Land,No,1984-02-27,Others,No Sewage,No Access,RM,259304,100376,8364650,28,1984,2013
2795,Karapakkam,1505,2011-03-24,175,2,2,4,Family,Yes,1970-03-04,Commercial,No Sewage,Gravel,RL,537548,230378,12798750,41,1970,2011
2796,Chrompet,1159,2008-07-16,120,1,1,3,Partial,No,1988-07-21,House,All Pub,Paved,RH,208655,64202,8025200,19,1988,2008
2797,Karapakkam,873,2010-03-24,103,1,1,2,Family,Yes,1979-01-04,Others,ELO,No Access,C,148990,52867,4806125,31,1979,2010
2798,Chrompet,1000,2013-11-24,138,1,1,3,Family,Yes,1987-01-12,Others,ELO,Paved,RL,279813,65290,9327100,26,1987,2013
2799,Karapakkam,1554,2009-09-08,89,2,2,4,Partial,No,1973-08-18,Commercial,No Sewage,Gravel,I,399859,118877,10807000,36,1973,2009
2800,KK Nagar,1368,2011-02-26,144,2,1,4,Adj Land,Yes,1988-03-03,Others,No Sewage,Paved,RM,505317,215028,10751420,22,1988,2011
2801,KK Nagar,2101,2009-01-25,76,3,2,5,Adj Land,Yes,1994-01-29,House,All Pub,Paved,RM,458356,216446,12732100,14,1994,2009
2802,Karapakkam,743,2010-02-15,96,1,1,2,Normal Sale,Yes,1961-02-27,Commercial,All Pub,No Access,RM,357326,153140,8507750,48,1961,2010
2803,Anna Nagar,1883,2008-01-21,81,2,1,5,Family,No,1976-01-29,Commercial,No Sewage,Paved,RH,567718,371953,19576490,31,1976,2008
2804,Anna Nagar,1849,2010-01-03,90,2,1,5,Normal Sale,No,2005-02-03,Commercial,No Sewage,No Access,RL,623171,261330,20102300,4,2005,2010
2805,Karapakkam,772,2010-12-21,152,1,1,2,AbNormal,Yes,1961-02-01,Commercial,All Pub,Gravel,I,288767,93654,7804500,49,1961,2010
2806,Karapakkam,963,2009-08-19,114,1,1,3,Normal Sale,No,1982-08-26,Commercial,All Pub,Gravel,RH,287496,179685,8984250,26,1982,2009
2807,KK Nagar,1939,2008-06-09,105,3,2,5,Partial,No,1983-09-13,Others,All Pub,Paved,RM,494256,235895,11233080,24,1983,2008
2808,Karapakkam,993,2009-03-10,1,1,1,3,Adj Land,Yes,1967-10-14,Others,No Sewage,Gravel,I,323681,154484,7356375,41,1967,2009
2809,Velachery,1830,2004-11-18,165,3,2,5,Adj Land,No,1994-11-21,Others,No Sewage,Paved,RH,366122,107683,10768300,9,1994,2004
2810,Anna Nagar,1774,2008-12-16,130,1,1,4,Normal Sale,Yes,2001-12-18,House,All Pub,Paved,RL,515042,94876,13553740,6,2001,2008
2811,Anna Nagar,1543,2009-07-18,101,1,1,4,Partial,Yes,1996-07-21,House,No Sewage,No Access,RM,450971,142412,11867660,12,1996,2009
2812,Karapakkam,1470,2011-04-17,84,2,2,4,Family,No,1968-04-27,Commercial,No Sewage,Gravel,I,383440,134722,10363250,42,1968,2011
2813,Anna Nagar,1673,2014-07-31,39,1,1,4,Family,No,1972-10-08,Commercial,No Sewage,No Access,RM,670144,126784,18111990,41,1972,2014
2814,Anna Nagar,1779,2011-08-29,114,1,1,4,Family,Yes,1998-01-09,House,No Sewage,No Access,RL,382934,135880,12352710,13,1998,2011
2815,Anna Nagar,1999,2013-11-01,4,2,1,5,Normal Sale,Yes,1997-01-15,Commercial,ELO,No Access,RH,808496,361696,21276220,16,1997,2013
2816,Chrompet,835,2008-05-29,165,1,1,3,Partial,No,1986-04-06,House,ELO,Paved,RH,193335,25778,6444500,22,1986,2008
2817,Chrompet,1251,2013-02-01,14,2,1,4,Family,No,2004-05-01,Commercial,ELO,Paved,RL,429255,69235,13846950,8,2004,2013
2818,KK Nagar,1996,2009-12-11,51,3,2,5,Partial,Yes,1997-11-15,Commercial,No Sewage,Gravel,RM,844168,316563,17586840,12,1997,2009
2819,Anna Nagar,1705,2009-01-12,98,1,1,4,AbNormal,No,1992-05-12,House,All Pub,Gravel,RL,337741,150107,12508940,16,1992,2009
2820,KK Nagar,1504,2008-07-16,22,2,1,4,Partial,Yes,1986-07-22,House,All Pub,Paved,RL,461695,173136,9618640,21,1986,2008
2821,Chrompet,713,2010-09-06,149,1,1,2,Normal Sale,No,2002-11-06,Commercial,ELO,Gravel,RL,297012,81934,10241800,7,2002,2010
2822,KK Nagar,1618,2009-09-06,146,2,1,4,AbNormal,Yes,1992-06-13,Others,No Sewage,Paved,RL,425052,138142,10626300,17,1992,2009
2823,Chrompet,743,2009-12-07,153,1,1,2,Adj Land,No,1997-07-15,Commercial,No Sewage,Paved,RH,257931,66871,9553000,12,1997,2009
2824,Adyar,1255,2009-10-28,151,2,2,4,Normal Sale,Yes,1972-06-11,House,All Pub,No Access,RL,346722,59438,9906355,37,1972,2009
2825,Velachery,1600,2009-04-12,7,2,1,4,Normal Sale,No,1988-09-12,Others,No Sewage,No Access,RM,379937,155872,9741970,20,1988,2009
2826,Chrompet,1031,2006-10-30,42,1,1,3,Adj Land,No,1992-02-11,Commercial,All Pub,Gravel,RH,329402,215378,12669300,14,1992,2006
2827,Karapakkam,593,2011-03-05,124,1,1,2,Family,Yes,1983-10-05,Others,No Sewage,Paved,RL,201651,104078,6504875,27,1983,2011
2828,Karapakkam,1429,2010-08-14,108,2,2,4,AbNormal,Yes,1976-08-22,Commercial,All Pub,No Access,RM,554828,271249,12329500,33,1976,2010
2829,Velachery,1505,2006-09-25,89,2,1,4,Family,Yes,1957-07-10,Commercial,All Pub,Paved,C,449581,230866,12150830,49,1957,2006
2830,Anna Nagar,1898,2015-10-02,8,2,1,5,Partial,No,1979-02-19,House,ELO,Paved,RH,410847,171186,11412420,36,1979,2015
2831,Chrompet,1003,2011-11-13,103,1,1,3,Partial,Yes,2004-11-14,Others,No Sewage,Gravel,RM,292447,140808,10831360,6,2004,2011
2832,Velachery,1902,2005-08-20,180,3,2,5,Partial,Yes,1975-08-28,Others,ELO,Gravel,A,357346,106238,9658000,29,1975,2005
2833,Karapakkam,705,2010-05-04,158,1,1,2,AbNormal,Yes,1968-04-15,House,No Sewage,Paved,A,157053,56378,4027000,42,1968,2010
2834,Anna Nagar,1591,2007-02-05,56,1,1,4,Partial,No,2000-03-05,Commercial,No Sewage,Gravel,RM,728057,191594,19159390,6,2000,2007
2835,Velachery,1524,2008-10-28,198,2,1,4,Partial,No,1966-08-11,Commercial,ELO,Paved,RH,460254,133231,12111940,42,1966,2008
2836,Karapakkam,1611,2010-08-26,106,2,2,4,Normal Sale,Yes,1965-06-09,House,All Pub,No Access,A,249495,115620,6085250,45,1965,2010
2837,Karapakkam,704,2011-04-15,6,1,1,2,Normal Sale,Yes,1978-04-23,House,ELO,Gravel,RM,315567,177025,7696750,32,1978,2011
2838,KK Nagar,1453,2008-12-20,125,2,1,4,Partial,Yes,1995-12-24,Others,No Sewage,Gravel,RM,484172,198071,11003920,12,1995,2008
2839,Velachery,1562,2012-01-22,110,2,1,4,Adj Land,Yes,1982-01-29,Others,No Sewage,Gravel,A,311268,183099,9154950,29,1982,2012
2840,Velachery,1671,2008-01-17,44,2,1,4,Normal Sale,No,2003-01-18,Others,ELO,Gravel,C,290549,181593,9079650,4,2003,2008
2841,Velachery,1802,2004-12-08,72,3,2,5,AbNormal,No,1969-08-21,Others,No Sewage,Gravel,RL,414375,207187,10904600,35,1969,2004
2842,Adyar,961,2008-05-05,45,1,1,3,Normal Sale,Yes,1988-10-05,House,No Sewage,Gravel,I,333329,85469,8546900,19,1988,2008
2843,Adyar,1116,2008-07-29,0,1,1,3,AbNormal,No,2000-07-31,House,All Pub,Gravel,C,298694,88801,8072820,7,2000,2008
2844,Anna Nagar,1544,2010-12-17,43,1,1,4,Partial,No,1997-12-20,Commercial,All Pub,Gravel,RM,689788,111857,18642910,12,1997,2010
2845,Anna Nagar,1694,2006-10-13,97,1,1,4,AbNormal,No,1969-10-22,Others,ELO,Gravel,RH,416895,73570,12261610,36,1969,2006
2846,KK Nagar,2016,2009-04-30,99,3,2,5,AbNormal,Yes,1989-05-05,Others,All Pub,Gravel,RM,415026,200819,13387920,19,1989,2009
2847,Adyar,887,2006-10-13,7,1,1,3,AbNormal,Yes,1997-10-15,Commercial,ELO,Paved,I,388801,160095,11435335,8,1997,2006
2848,Adyar,746,2009-05-03,36,1,1,2,Adj Land,Yes,1996-08-03,House,All Pub,Paved,RH,304337,118353,8453795,12,1996,2009
2849,Chrompet,816,2009-11-02,6,1,1,3,Normal Sale,Yes,1974-02-20,House,No Sewage,No Access,RL,191751,44250,7375050,35,1974,2009
2850,Adyar,1197,2011-01-07,53,1,1,3,Adj Land,Yes,1973-10-07,House,No Sewage,Paved,RL,339209,20558,10279070,37,1973,2011
2851,KK Nagar,2180,2008-06-13,97,3,2,5,Adj Land,Yes,2000-06-15,Others,No Sewage,Gravel,RM,557067,214256,14283760,7,2000,2008
2852,KK Nagar,1975,2011-01-13,78,3,2,5,Partial,Yes,1993-01-17,House,No Sewage,Paved,RH,414279,101044,10104360,17,1993,2011
2853,Chrompet,873,2009-04-23,161,1,1,3,AbNormal,No,2003-04-25,House,ELO,No Access,RM,232947,116474,7764900,5,2003,2009
2854,KK Nagar,1305,2010-11-04,18,1,1,3,Partial,Yes,1999-04-14,House,No Sewage,Paved,RM,294910,114159,9513220,11,1999,2010
2855,Adyar,601,2007-07-25,196,1,1,2,Family,Yes,1976-01-08,House,No Sewage,Gravel,RM,285086,8639,8638965,31,1976,2007
2856,Chrompet,937,2007-07-10,70,1,1,3,Partial,No,1971-10-16,House,No Sewage,No Access,RH,179295,86556,6182600,35,1971,2007
2857,Chrompet,798,2007-04-07,116,1,1,2,Partial,No,1968-07-13,House,ELO,Gravel,RM,234039,52848,7549650,38,1968,2007
2858,KK Nagar,1884,2008-03-12,18,3,2,5,AbNormal,No,1995-07-12,House,No Sewage,Gravel,RL,493475,83996,10499460,12,1995,2008
2859,KK Nagar,1636,2009-02-13,85,2,1,4,Adj Land,No,1979-02-21,House,No Sewage,Paved,RL,411770,224602,9358400,29,1979,2009
2860,KK Nagar,1615,2010-07-07,10,2,1,4,Partial,No,1993-11-07,Commercial,No Sewage,Gravel,RH,606204,303102,13178340,16,1993,2010
2861,Karapakkam,1565,2009-12-12,152,2,2,4,AbNormal,No,1976-12-20,Others,ELO,No Access,RM,387096,193548,8415125,32,1976,2009
2862,T Nagar,1703,2009-05-05,120,1,1,4,Partial,Yes,1982-12-05,Others,All Pub,Paved,RL,509321,96358,13765430,26,1982,2009
2863,Velachery,1693,2010-10-30,197,2,1,4,Adj Land,No,1965-10-11,Commercial,No Sewage,Paved,RH,484020,193608,13829150,45,1965,2010
2864,KK Nagar,2280,2009-07-10,168,4,2,6,Family,No,1980-10-14,House,No Sewage,Gravel,RL,465415,113516,11351580,28,1980,2009
2865,Chrompet,1051,2013-11-14,194,1,1,3,Normal Sale,Yes,1975-11-24,Commercial,All Pub,Gravel,RL,440195,233854,13756100,37,1975,2013
2866,Chrompet,1266,2015-01-30,50,2,1,4,Family,No,1991-05-02,Commercial,ELO,Gravel,RH,369014,54669,13667200,23,1991,2015
2867,KK Nagar,1348,2010-11-11,58,2,1,4,Normal Sale,No,2004-12-11,House,No Sewage,Gravel,RM,324344,228948,9539520,5,2004,2010
2868,Chrompet,1005,2013-02-16,105,1,1,3,AbNormal,Yes,1978-02-25,Commercial,No Sewage,Paved,RL,388252,187864,12524250,34,1978,2013
2869,T Nagar,1589,2007-03-09,151,1,1,4,Family,Yes,1972-11-09,Others,ELO,Paved,RH,307274,196656,12290970,34,1972,2007
2870,Chrompet,1182,2012-03-01,38,1,1,3,Partial,Yes,1983-10-01,Others,No Sewage,Gravel,RH,250977,170665,10039090,28,1983,2012
2871,Karapakkam,1273,2012-04-02,152,1,1,3,Adj Land,Yes,1988-10-02,Commercial,No Sewage,Paved,C,310744,220528,10024000,23,1988,2012
2872,KK Nagar,1596,2010-07-03,183,2,1,4,Normal Sale,No,1993-11-03,House,No Sewage,Gravel,RL,284314,161111,9477140,16,1993,2010
2873,KK Nagar,1676,2010-12-10,177,2,1,4,Adj Land,No,1989-10-17,House,All Pub,Paved,RM,317292,133058,10235220,21,1989,2010
2874,Chrompet,1240,2009-02-03,27,2,1,4,Normal Sale,Yes,1984-08-03,Commercial,ELO,Paved,RH,448504,126142,14015750,24,1984,2009
2875,Adyar,848,2009-03-29,176,1,1,3,Family,No,2002-03-31,Others,ELO,Paved,RL,278702,16891,8445505,6,2002,2009
2876,Karapakkam,1464,2009-10-15,117,2,2,4,AbNormal,Yes,1990-10-20,Commercial,ELO,No Access,I,435840,116933,10630250,18,1990,2009
2877,Karapakkam,1329,2011-09-30,151,1,1,3,AbNormal,No,1991-05-10,Commercial,No Sewage,Gravel,C,392985,105435,9585000,20,1991,2011
2878,Velachery,1842,2010-03-05,19,3,2,5,AbNormal,No,1992-07-05,Commercial,ELO,No Access,C,504272,103440,12930060,17,1992,2010
2879,Chrompet,810,2009-12-15,1,1,1,3,Partial,No,2005-12-16,House,No Sewage,Paved,RH,218080,68150,6815000,3,2005,2009
2880,Velachery,1795,2007-09-29,60,2,1,4,AbNormal,No,1971-08-10,House,No Sewage,Paved,RL,309419,159397,9376320,36,1971,2007
2881,Anna Nagar,1791,2011-10-12,91,1,1,4,AbNormal,No,1992-12-14,Commercial,No Sewage,Paved,RH,493791,303872,18991980,18,1992,2011
2882,Adyar,611,2007-01-16,117,1,1,2,Normal Sale,No,1972-01-25,Commercial,ELO,No Access,RL,313501,16500,8250025,34,1972,2007
2883,Adyar,1192,2008-05-13,1,1,1,3,Normal Sale,No,1982-05-20,Commercial,ELO,No Access,I,387689,121153,12115290,25,1982,2008
2884,Adyar,1071,2008-07-04,57,1,1,3,Family,No,1984-04-13,Others,No Sewage,Paved,C,243380,14750,7375160,24,1984,2008
2885,Chrompet,1176,2012-02-07,94,1,1,3,Adj Land,No,2008-03-07,House,No Sewage,Gravel,RH,284890,110280,9190000,3,2008,2012
2886,Chrompet,1101,2014-07-21,95,1,1,3,AbNormal,Yes,2008-07-22,Commercial,No Sewage,Paved,RH,359022,186159,13297100,5,2008,2014
2887,Chrompet,1146,2013-08-17,92,1,1,3,Adj Land,Yes,1986-08-24,Others,No Sewage,Paved,RH,255722,78684,9835470,26,1986,2013
2888,Adyar,918,2007-05-11,83,1,1,3,Adj Land,Yes,1971-11-14,House,All Pub,Paved,A,274160,28119,7029740,35,1971,2007
2889,KK Nagar,2331,2008-04-30,188,4,2,6,Partial,No,1978-08-05,Commercial,No Sewage,Gravel,RM,909160,181832,18183200,29,1978,2008
2890,KK Nagar,2419,2008-03-09,180,4,2,6,Adj Land,Yes,1987-09-09,Others,No Sewage,Paved,RM,664728,317913,14450600,20,1987,2008
2891,KK Nagar,1422,2009-04-05,9,2,1,4,Normal Sale,No,1986-10-05,Commercial,No Sewage,Paved,RL,534346,236107,12426660,22,1986,2009
2892,Velachery,1667,2006-02-28,146,2,1,4,Family,No,1978-07-03,Commercial,All Pub,No Access,RH,446113,170572,13120960,27,1978,2006
2893,Velachery,1634,2009-06-01,50,2,1,4,Partial,No,1957-01-19,House,ELO,Gravel,A,244564,45051,6435890,52,1957,2009
2894,KK Nagar,1587,2009-05-12,53,2,1,4,Partial,No,2004-06-12,Commercial,No Sewage,Gravel,RL,688215,206465,13764300,4,2004,2009
2895,Velachery,1641,2007-01-27,13,2,1,4,AbNormal,No,1959-08-02,Others,No Sewage,Paved,A,232203,105547,7036460,47,1959,2007
2896,Velachery,1673,2009-03-27,125,2,1,4,Normal Sale,Yes,1969-06-04,Others,All Pub,Gravel,RH,433898,141017,10847450,39,1969,2009
2897,T Nagar,1901,2009-12-27,62,2,1,5,Partial,No,1995-12-31,Others,No Sewage,Gravel,RL,531981,201290,14377860,13,1995,2009
2898,Anna Nagar,1859,2012-12-07,22,2,1,5,Partial,No,1983-07-20,Others,No Sewage,No Access,RL,441044,239424,12601250,29,1983,2012
2899,Adyar,1034,2011-09-17,200,1,1,3,Normal Sale,No,1978-09-25,Commercial,All Pub,No Access,RL,412770,145684,12140295,32,1978,2011
2900,Chrompet,832,2011-11-29,25,1,1,3,Partial,Yes,1978-07-12,House,All Pub,Gravel,RH,241661,56387,8055350,33,1978,2011
2901,Anna Nagar,1577,2010-11-28,125,1,1,4,Normal Sale,Yes,1976-06-12,House,No Sewage,Gravel,RM,397364,251664,13245480,34,1976,2010
2902,T Nagar,1682,2009-12-04,119,1,1,4,Adj Land,Yes,1970-04-22,Commercial,All Pub,Paved,RL,787045,242168,20180630,39,1970,2009
2903,Anna Nagar,1652,2013-11-05,132,1,1,4,Adj Land,No,1989-05-17,House,No Sewage,No Access,RM,370420,71694,11949030,24,1989,2013
2904,T Nagar,1793,2014-05-07,141,1,1,4,Normal Sale,Yes,2002-08-07,House,No Sewage,Paved,RH,453748,77785,12964240,11,2002,2014
2905,Chrompet,1116,2007-10-08,134,1,1,3,Family,Yes,1967-08-20,House,No Sewage,Paved,RH,228971,135686,8480400,40,1967,2007
2906,Adyar,883,2007-07-03,2,1,1,3,Partial,No,1989-11-03,Others,ELO,Paved,C,216844,44644,6377770,17,1989,2007
2907,T Nagar,1589,2012-03-10,4,1,1,4,Family,No,1996-07-10,Others,No Sewage,Paved,RM,516480,232416,12911990,15,1996,2012
2908,Adyar,981,2008-02-25,23,1,1,3,Normal Sale,No,2003-02-26,Commercial,No Sewage,No Access,RH,400221,148653,11434875,4,2003,2008
